job.log: 2024/03/18 14:45:22  Created 'KKelly - Latest 2D Scene' by 'admin'
job.log: 2024/03/18 14:49:26  DM-RENDER-003: Rendering frame 19 of job 'KKelly - Latest 2D Scene'
job.log: 2024/03/18 14:49:38  DM-RENDER-011: Rendering frame 53 of job 'KKelly - Latest 2D Scene'
job.log: 2024/03/18 14:49:42  DM-RENDER-010: Rendering frame 57 of job 'KKelly - Latest 2D Scene'
job.log: 2024/03/18 14:49:55  DM-RENDER-011: Rendering frame 58 of job 'KKelly - Latest 2D Scene'
job.log: 2024/03/18 14:50:07  DM-RENDER-002: Rendering frame 23 of job 'KKelly - Latest 2D Scene'
job.log: 2024/03/18 14:50:12  DM-RENDER-012: Rendering frame 27 of job 'KKelly - Latest 2D Scene'
job.log: 2024/03/18 14:50:13  DM-RENDER-063: Rendering frame 62 of job 'KKelly - Latest 2D Scene'
job.log: 2024/03/18 14:50:15  DM-RENDER-010: Rendering frame 66 of job 'KKelly - Latest 2D Scene'
job.log: 2024/03/18 14:50:15  DM-RENDER-015: Rendering frame 11 of job 'KKelly - Latest 2D Scene'
job.log: 2024/03/18 14:50:19  DM-RENDER-008: Rendering frame 14 of job 'KKelly - Latest 2D Scene'
job.log: 2024/03/18 14:50:21  DM-RENDER-062: Rendering frame 48 of job 'KKelly - Latest 2D Scene'
job.log: 2024/03/18 14:50:21  DM-RENDER-014: Rendering frame 3 of job 'KKelly - Latest 2D Scene'
job.log: 2024/03/18 14:50:23  DM-RENDER-013: Rendering frame 16 of job 'KKelly - Latest 2D Scene'
job.log: 2024/03/18 14:50:23  DM-RENDER-011: Rendering frame 63 of job 'KKelly - Latest 2D Scene'
job.log: 2024/03/18 14:50:25  DM-RENDER-060: Rendering frame 47 of job 'KKelly - Latest 2D Scene'
job.log: 2024/03/18 14:50:29  DM-RENDER-064: Rendering frame 52 of job 'KKelly - Latest 2D Scene'
job.log: 2024/03/18 14:50:30  DM-RENDER-005: Rendering frame 31 of job 'KKelly - Latest 2D Scene'
job.log: 2024/03/18 14:50:32  DM-RENDER-061: Rendering frame 43 of job 'KKelly - Latest 2D Scene'
job.log: 2024/03/18 14:50:32  DM-RENDER-011: Peer-to-Peer Statistics:
job.log:     > DM-RENDER-065 Download-Speed 12.12 MiB\s (2x)
job.log:     > DM-RENDER-010 Download-Speed 41.29 MiB\s (2x)
job.log: Peer-to-Peer Statistics End
job.log: 2024/03/18 14:50:38  DM-RENDER-062: Peer-to-Peer Statistics:
job.log:     > DM-RENDER-065 Download-Speed 5.11 MiB\s (2x)
job.log:     > DM-RENDER-010 Download-Speed 40.31 MiB\s (2x)
job.log: Peer-to-Peer Statistics End
job.log: 2024/03/18 14:50:38  DM-RENDER-063: Peer-to-Peer Statistics:
job.log:     > DM-RENDER-065 Download-Speed 3.79 MiB\s (2x)
job.log:     > DM-RENDER-010 Download-Speed 11.91 MiB\s (2x)
job.log: Peer-to-Peer Statistics End
job.log: 2024/03/18 14:50:41  DM-RENDER-060: Peer-to-Peer Statistics:
job.log:     > DM-RENDER-065 Download-Speed 5.34 MiB\s (2x)
job.log:     > DM-RENDER-010 Download-Speed 40.63 MiB\s (2x)
job.log: Peer-to-Peer Statistics End
job.log: 2024/03/18 14:50:47  DM-RENDER-061: Peer-to-Peer Statistics:
job.log:     > DM-RENDER-065 Download-Speed 4.52 MiB\s (2x)
job.log:     > DM-RENDER-010 Download-Speed 29.03 MiB\s (2x)
job.log: Peer-to-Peer Statistics End
job.log: 2024/03/18 14:50:52  DM-RENDER-064: Peer-to-Peer Statistics:
job.log:     > DM-RENDER-065 Download-Speed 4.08 MiB\s (2x)
job.log:     > DM-RENDER-010 Download-Speed 12.84 MiB\s (2x)
job.log: Peer-to-Peer Statistics End
job.log: 2024/03/18 14:50:53  DM-RENDER-012: Peer-to-Peer Statistics:
job.log:     > DM-RENDER-065 Download-Speed 6.42 MiB\s (2x)
job.log:     > DM-RENDER-010 Download-Speed 36.03 MiB\s (2x)
job.log: Peer-to-Peer Statistics End
job.log: 2024/03/18 14:50:59  DM-RENDER-002: Peer-to-Peer Statistics:
job.log:     > DM-RENDER-065 Download-Speed 4.69 MiB\s (2x)
job.log:     > DM-RENDER-010 Download-Speed 40.18 MiB\s (2x)
job.log: Peer-to-Peer Statistics End
job.log: 2024/03/18 14:51:05  DM-RENDER-005: Peer-to-Peer Statistics:
job.log:     > DM-RENDER-065 Download-Speed 4.82 MiB\s (2x)
job.log:     > DM-RENDER-010 Download-Speed 29.23 MiB\s (2x)
job.log: Peer-to-Peer Statistics End
job.log: 2024/03/18 14:51:10  DM-RENDER-015: Peer-to-Peer Statistics:
job.log:     > DM-RENDER-065 Download-Speed 3.74 MiB\s (2x)
job.log:     > DM-RENDER-010 Download-Speed 24.17 MiB\s (2x)
job.log: Peer-to-Peer Statistics End
job.log: 2024/03/18 14:51:13  DM-RENDER-008: Peer-to-Peer Statistics:
job.log:     > DM-RENDER-065 Download-Speed 2.88 MiB\s (2x)
job.log:     > DM-RENDER-010 Download-Speed 5.08 MiB\s (2x)
job.log: Peer-to-Peer Statistics End
job.log: 2024/03/18 14:51:16  DM-RENDER-014: Peer-to-Peer Statistics:
job.log:     > DM-RENDER-065 Download-Speed 3.44 MiB\s (2x)
job.log:     > DM-RENDER-010 Download-Speed 23.41 MiB\s (2x)
job.log: Peer-to-Peer Statistics End
job.log: 2024/03/18 14:51:19  DM-RENDER-013: Peer-to-Peer Statistics:
job.log:     > DM-RENDER-065 Download-Speed 4.71 MiB\s (2x)
job.log:     > DM-RENDER-010 Download-Speed 24.78 MiB\s (2x)
job.log: Peer-to-Peer Statistics End
job.log: 2024/03/18 14:51:30  DM-RENDER-010: Rendering frame 67 of job 'KKelly - Latest 2D Scene'
job.log: 2024/03/18 14:51:34  DM-RENDER-007: Rendering frame 7 of job 'KKelly - Latest 2D Scene'
job.log: 2024/03/18 14:51:34  DM-RENDER-009: Rendering frame 13 of job 'KKelly - Latest 2D Scene'
job.log: 2024/03/18 14:51:36  DM-RENDER-001: Rendering frame 2 of job 'KKelly - Latest 2D Scene'
job.log: 2024/03/18 14:51:37  DM-RENDER-003: Rendering frame 32 of job 'KKelly - Latest 2D Scene'
job.log: 2024/03/18 14:51:49  DM-RENDER-010: Rendering frame 72 of job 'KKelly - Latest 2D Scene'
job.log: 2024/03/18 14:51:58  DM-RENDER-010: Peer-to-Peer Statistics:
job.log:     > DM-RENDER-065 Download-Speed 42.18 MiB\s (4x)
job.log: Peer-to-Peer Statistics End
job.log: 2024/03/18 14:52:07  DM-RENDER-003: Peer-to-Peer Statistics:
job.log:     > DM-RENDER-065 Download-Speed 15.41 MiB\s (2x)
job.log:     > DM-RENDER-010 Download-Speed 17.49 MiB\s (2x)
job.log: Peer-to-Peer Statistics End
job.log: 2024/03/18 14:52:27  DM-RENDER-009: Peer-to-Peer Statistics:
job.log:     > DM-RENDER-065 Download-Speed 3.64 MiB\s (2x)
job.log:     > DM-RENDER-010 Download-Speed 40.17 MiB\s (2x)
job.log: Peer-to-Peer Statistics End
job.log: 2024/03/18 14:52:28  DM-RENDER-007: Peer-to-Peer Statistics:
job.log:     > DM-RENDER-065 Download-Speed 5.65 MiB\s (2x)
job.log:     > DM-RENDER-010 Download-Speed 24.45 MiB\s (2x)
job.log: Peer-to-Peer Statistics End
job.log: 2024/03/18 14:52:51  DM-RENDER-001: Peer-to-Peer Statistics:
job.log:     > DM-RENDER-065 Download-Speed 8.13 MiB\s (1x)
job.log:     > DM-RENDER-003 Download-Speed 31.54 MiB\s (1x)
job.log:     > DM-RENDER-010 Download-Speed 39.96 MiB\s (2x)
job.log: Peer-to-Peer Statistics End
job.log: 2024/03/18 14:53:13  Zip Results Finished
job.log: 2024/03/18 14:53:25  User admin downloaded result asset 'KKelly - Latest 2D Scene_100_percent.zip'
job.log: 2024/03/18 14:54:18  User admin downloaded result asset 'KKelly - Latest 2D Scene_100_percent.zip'
job.log: 2024/03/18 23:26:11  User admin downloaded result asset '2D Scene V14_0000.png'
job.log: 2024/03/19 00:26:21  Created 'Nick C color redo' by 'admin'
job.log: 2024/03/19 00:38:26  Added Asset 'Color redo_0006.c4d' by User admin
job.log: 2024/03/19 00:48:43  Added Asset 'Specular_hydralisk.tif' by User admin
job.log: 2024/03/19 00:48:44  Added Asset 'Normal_hydralisk.tif' by User admin
job.log: 2024/03/19 00:49:09  Added Asset 'Knight_specular_1.png' by User admin
job.log: 2024/03/19 00:49:10  Added Asset 'Knight_specular.png' by User admin
job.log: 2024/03/19 00:49:12  Added Asset 'Knight_normal_1.png' by User admin
job.log: 2024/03/19 00:49:14  Added Asset 'Knight_normal.png' by User admin
job.log: 2024/03/19 00:49:16  Added Asset 'Knight_diffuse_1.png' by User admin
job.log: 2024/03/19 00:49:18  Added Asset 'Knight_diffuse.png' by User admin
job.log: 2024/03/19 00:49:25  Added Asset 'FemaleFitA_StdNM_1.png' by User admin
job.log: 2024/03/19 00:49:27  Added Asset 'FemaleFitA_StdNM.png' by User admin
job.log: 2024/03/19 00:49:29  Added Asset 'FemaleFitA_eyelash_diffuse_2.png' by User admin
job.log: 2024/03/19 00:49:32  Added Asset 'FemaleFitA_eyelash_diffuse_1.png' by User admin
job.log: 2024/03/19 00:49:34  Added Asset 'FemaleFitA_eyelash_diffuse.png' by User admin
job.log: 2024/03/19 00:49:37  Added Asset 'FemaleFitA_Body_diffuse_1.png' by User admin
job.log: 2024/03/19 00:49:39  Added Asset 'FemaleFitA_Body_diffuse.png' by User admin
job.log: 2024/03/19 00:49:58  Added Asset '??????????_???_??????_Metallic.png' by User admin
job.log: 2024/03/19 00:49:58  Added Asset '??????????_???_?????_Metallic.png' by User admin
job.log: 2024/03/19 00:50:00  Added Asset '??????????_???_?????_Metallic.png' by User admin
job.log: 2024/03/19 00:50:00  Added Asset '??????????_???_??????_Normal.png' by User admin
job.log: 2024/03/19 00:50:00  Added Asset 'Vase_roughness_1.png' by User admin
job.log: 2024/03/19 00:50:01  Added Asset 'Vase_roughness.png' by User admin
job.log: 2024/03/19 00:50:02  Added Asset '??????????_???_??????_BaseColor.png' by User admin
job.log: 2024/03/19 00:50:03  Added Asset '??????????_???_?????_BaseColor.png' by User admin
job.log: 2024/03/19 00:50:03  Added Asset '??????????_???_?????_BaseColor.png' by User admin
job.log: 2024/03/19 00:50:04  Added Asset '??????????_???_?????_Normal.png' by User admin
job.log: 2024/03/19 00:50:06  Added Asset 'VB_tifb_04.psd' by User admin
job.log: 2024/03/19 00:50:06  Added Asset 'trifolia6_1.png' by User admin
job.log: 2024/03/19 00:50:07  Added Asset 'Vase_Diff_1.png' by User admin
job.log: 2024/03/19 00:50:07  Added Asset 'Vase_normal.png' by User admin
job.log: 2024/03/19 00:50:07  Added Asset 'Vase_normal_1.png' by User admin
job.log: 2024/03/19 00:50:07  Added Asset 'trifolia6.png' by User admin
job.log: 2024/03/19 00:50:07  Added Asset 'trifolia5.png' by User admin
job.log: 2024/03/19 00:50:07  Added Asset 'trifolia4_1.png' by User admin
job.log: 2024/03/19 00:50:07  Added Asset 'Vase_Diff.png' by User admin
job.log: 2024/03/19 00:50:08  Added Asset 'trifolia5_1.png' by User admin
job.log: 2024/03/19 00:50:08  Added Asset 'trifolia4.png' by User admin
job.log: 2024/03/19 00:50:08  Added Asset 'trifolia3_1.png' by User admin
job.log: 2024/03/19 00:50:09  Added Asset 'trifolia1.png' by User admin
job.log: 2024/03/19 00:50:09  Added Asset 'trifolia2.png' by User admin
job.log: 2024/03/19 00:50:09  Added Asset 'trifolia1_1.png' by User admin
job.log: 2024/03/19 00:50:09  Added Asset 'trifolia3.png' by User admin
job.log: 2024/03/19 00:50:09  Added Asset 'trifolia2_1.png' by User admin
job.log: 2024/03/19 00:50:11  Added Asset 'slab_rubble_diff_1.png' by User admin
job.log: 2024/03/19 00:50:12  Added Asset 'slab_rubble_normal_1.png' by User admin
job.log: 2024/03/19 00:50:12  Added Asset 'slab_rubble_diff.png' by User admin
job.log: 2024/03/19 00:50:12  Added Asset 'slab_rubble_normal.png' by User admin
job.log: 2024/03/19 00:50:20  Added Asset 'Tongue-NM_u0_v0.tif' by User admin
job.log: 2024/03/19 00:50:21  Added Asset 'Tongue-TM_u0_v0.tif' by User admin
job.log: 2024/03/19 00:50:21  Added Asset 'Shield_Metallness.png' by User admin
job.log: 2024/03/19 00:50:21  Added Asset 'Shield_Glossiness.png' by User admin
job.log: 2024/03/19 00:50:22  Added Asset 'Screenshot (166).png' by User admin
job.log: 2024/03/19 00:50:23  Added Asset 'Shield_Normal_OGL.png' by User admin
job.log: 2024/03/19 00:50:24  Added Asset 'Shield_Base_Color.png' by User admin
job.log: 2024/03/19 00:50:25  Added Asset 'roughness_map_14.jpg' by User admin
job.log: 2024/03/19 00:50:26  Added Asset 'roughness_map_13.jpg' by User admin
job.log: 2024/03/19 00:50:27  Added Asset 'rubble_set_low_standardSurface1_Normal.png' by User admin
job.log: 2024/03/19 00:50:27  Added Asset 'rubble_set_low_standardSurface1_Normal_1.png' by User admin
job.log: 2024/03/19 00:50:28  Added Asset 'rubble_set_low_standardSurface1_BaseMap_1.png' by User admin
job.log: 2024/03/19 00:50:28  Added Asset 'rubble_set_low_standardSurface1_BaseMap.png' by User admin
job.log: 2024/03/19 00:50:30  Added Asset 'roughness_map_12.jpg' by User admin
job.log: 2024/03/19 00:50:30  Added Asset 'roughness_map_11.jpg' by User admin
job.log: 2024/03/19 00:50:30  Added Asset 'roughness_map_2.jpg' by User admin
job.log: 2024/03/19 00:50:31  Added Asset 'ramp_normal_1.png' by User admin
job.log: 2024/03/19 00:50:32  Added Asset 'RampedStairs_normal_1.png' by User admin
job.log: 2024/03/19 00:50:32  Added Asset 'ramp_normal.png' by User admin
job.log: 2024/03/19 00:50:32  Added Asset 'RampedStairs_Diff.png' by User admin
job.log: 2024/03/19 00:50:32  Added Asset 'RampedStairs_Diff_1.png' by User admin
job.log: 2024/03/19 00:50:33  Added Asset 'RampedStairs_normal.png' by User admin
job.log: 2024/03/19 00:50:33  Added Asset 'ramp_diff.png' by User admin
job.log: 2024/03/19 00:50:34  Added Asset 'ramp_diff_1.png' by User admin
job.log: 2024/03/19 00:50:36  Added Asset 'pillar_diff.png' by User admin
job.log: 2024/03/19 00:50:36  Added Asset 'pillar_diff_1.png' by User admin
job.log: 2024/03/19 00:50:36  Added Asset 'pillar_normal_1.png' by User admin
job.log: 2024/03/19 00:50:36  Added Asset 'Paladin_specular.png' by User admin
job.log: 2024/03/19 00:50:37  Added Asset 'pillar_normal.png' by User admin
job.log: 2024/03/19 00:50:39  Added Asset 'normal_map_opengl_15.jpg' by User admin
job.log: 2024/03/19 00:50:40  Added Asset 'normal_map_opengl_17.jpg' by User admin
job.log: 2024/03/19 00:50:40  Added Asset 'normal_map_opengl_16.jpg' by User admin
job.log: 2024/03/19 00:50:41  Added Asset 'normal_map_opengl_14.jpg' by User admin
job.log: 2024/03/19 00:50:41  Added Asset 'Paladin_diffuse.png' by User admin
job.log: 2024/03/19 00:50:42  Added Asset 'Paladin_normal.png' by User admin
job.log: 2024/03/19 00:50:46  Added Asset 'normal_map_opengl_13.jpg' by User admin
job.log: 2024/03/19 00:50:47  Added Asset 'normal_map_opengl_4.jpg' by User admin
job.log: 2024/03/19 00:50:50  Added Asset 'lbw_plnts_v01_silver-birch_trunk-03_displacement.png' by User admin
job.log: 2024/03/19 00:50:51  Added Asset 'lbw_plnts_v01_silver-birch_leaf-03-summer_subsurface.png' by User admin
job.log: 2024/03/19 00:50:51  Added Asset 'lbw_plnts_v01_silver-birch_leaf-03-summer_bump.png' by User admin
job.log: 2024/03/19 00:50:51  Added Asset 'lbw_plnts_v01_silver-birch_leaf-03-summer_base-color.png' by User admin
job.log: 2024/03/19 00:50:54  Added Asset 'lbw_plnts_v01_silver-birch_trunk-06_displacement.png' by User admin
job.log: 2024/03/19 00:50:55  Added Asset 'lbw_plnts_v01_silver-birch_trunk-03_specular-roughness.png' by User admin
job.log: 2024/03/19 00:51:00  Added Asset 'lbw_plnts_v01_silver-birch_trunk-06_specular-roughness.png' by User admin
job.log: 2024/03/19 00:51:06  Added Asset 'lbw_plnts_v01_silver-birch_trunk-03_base-color.png' by User admin
job.log: 2024/03/19 00:51:10  Added Asset 'lbw_plnts_v01_silver-birch_trunk-06_base-color.png' by User admin
job.log: 2024/03/19 00:51:10  Added Asset 'lbw_plnts_v01_silver-birch_leaf-02-summer_bump.png' by User admin
job.log: 2024/03/19 00:51:10  Added Asset 'lbw_plnts_v01_silver-birch_leaf-03-fall_subsurface.png' by User admin
job.log: 2024/03/19 00:51:10  Added Asset 'lbw_plnts_v01_silver-birch_leaf-03-fall_base-color.png' by User admin
job.log: 2024/03/19 00:51:10  Added Asset 'lbw_plnts_v01_silver-birch_leaf-03-fall_bump.png' by User admin
job.log: 2024/03/19 00:51:10  Added Asset 'lbw_plnts_v01_silver-birch_leaf-02-summer_subsurface.png' by User admin
job.log: 2024/03/19 00:51:10  Added Asset 'lbw_plnts_v01_silver-birch_leaf-02-fall_subsurface.png' by User admin
job.log: 2024/03/19 00:51:10  Added Asset 'lbw_plnts_v01_silver-birch_leaf-02-fall_bump.png' by User admin
job.log: 2024/03/19 00:51:10  Added Asset 'lbw_plnts_v01_silver-birch_leaf-01-summer_bump.png' by User admin
job.log: 2024/03/19 00:51:10  Added Asset 'lbw_plnts_v01_silver-birch_leaf-02-summer_base-color.png' by User admin
job.log: 2024/03/19 00:51:10  Added Asset 'lbw_plnts_v01_silver-birch_leaf-01-summer_subsurface.png' by User admin
job.log: 2024/03/19 00:51:10  Added Asset 'lbw_plnts_v01_silver-birch_leaf-02-fall_base-color.png' by User admin
job.log: 2024/03/19 00:51:11  Added Asset 'lbw_plnts_v01_silver-birch_leaf-01-summer_base-color.png' by User admin
job.log: 2024/03/19 00:51:11  Added Asset 'lbw_plnts_v01_silver-birch_leaf-01-fall_bump.png' by User admin
